Field,Example,Description
Event.Outcome.Reason,INVALID_CREDENTIALS,Reason for the result.
Event.Outcome.Result,"SUCCESS, FAILURE, CHALLENGE",The outcome of the action being performed defined in Event.EventType.
Event.Published,2024-12-05T17:23:52.807Z,Timestamp the log event was published in UTC.
Event.SecurityContext,,Additional network context for the client IP.
Event.SecurityContext.ASNumber,123456,ASN the client IP is authenticating from.
Event.SecurityContext.ASOrg,palo alto networks inc,Organization the client IP is registered to.
Event.SecurityContext.Domain,,Apex domain the client IP is registered to.
Event.SecurityContext.IsProxy,"true, false","Boolean result if the IP is registered to a proxy or anonymizer service, derived from 3rd party service provider."
Event.SecurityContext.ISP,google,ISP the client IP is registered to.
Event.Severity,"INFO, WARN, ERROR","Indicates if the log being generated is informational, a warning or an error. "
,,
Event.System,null,
Event.System.DebugContext.DebugData.AuthenticatorMethodChallengeTime,2025-01-10T15:17:49.778Z,Timestamp the user was challenged for an authenticator. 
Event.System.DebugContext.DebugData.AuthorizationServer,aus...,Unique ID of configured authorization server.
Event.System.DebugContext.DebugData.AuthorizationServerName,app-prod,Configured name of authorization server.
Event.System.DebugContext.DebugData.Behaviors,"{New Geo-Location=NEGATIVE, New Device=NEGATIVE, New IP=NEGATIVE, New State=NEGATIVE, New Country=NEGATIVE, Velocity=NEGATIVE, New City=NEGATIVE}","The result of behavior detection evaluation which is present if behaviors are 
evaluated in the request."
Event.System.DebugContext.DebugData.ClientAuthType,"none, private_key_jwt",Auth type used depending on the grant. 
Event.System.DebugContext.DebugData.DefaultAuthorizationServer,FALSE,Boolean if default authorization server was used.
Event.System.DebugContext.DebugData.DeviceFingerprint,111aaa222bbb333ccc444ddd555eee666,Client generated unique identifier that is based off of various aspects of the end user’s browser. The device fingerprint is similar to the Device token but it is not stored as a cookie.
Event.System.DebugContext.DebugData.DtHash,111aaa222bbb333ccc444ddd555eee666,Hash of the device token. The device token is a backend generated unique string that is returned as a browser cookie.
Event.System.DebugContext.DebugData.Factor,SIGNED_NONCE,MFA Factor used - SIGNED_NONCE is Okta Fastpass.
Event.System.DebugContext.DebugData.GrantType,refresh_token,type of grant being used.
Event.System.DebugContext.DebugData.GrantedScopes,"offline_access, profile, openid",Scopes that were granted.
Event.System.DebugContext.DebugData.KeyTypeUsedForAuthentication,PROOF_OF_POSSESSION,Type of MFA being used as configured in the authentication policy. 
Event.System.DebugContext.DebugData.LogOnlySecurityData,"{""risk"":{""level"":""LOW""},""behaviors"":{""....""}}",JSON result of the risk level and behaviors of an authentication. 
Event.System.DebugContext.DebugData.Origin,https://{company}.okta.com,Origin header value of the request.
Event.System.DebugContext.DebugData.Policy,00p..,Authorization Server policy hit for this event.
Event.System.DebugContext.DebugData.InitiationType,"SP_INITIATIED, IDP_INITIATED",Determines whether the authentication was initiated through a service provider's login page or through the IDP.
Event.System.DebugContext.DebugData.RequestId,a2f7c1f4d84c3deaa3f990db7a6cba8a,Unique ID associated to the request. 
Event.System.DebugContext.DebugData.RedirectUri,https://<customer>.okta.com/enduser/callback,Redirect URI associated with an authentication.
Event.System.DebugContext.DebugData.RequestUrl,/app/google/{appid}/sso/saml/mail,URL of the request.
Event.System.DebugContext.DebugData.RequestedScopes,openid,Scopes being requested. 
Event.System.DebugContext.DebugData.ResponseTime,120,Response time in ms.
Event.System.DebugContext.DebugData.Risk,Risk{level=LOW},"Contains the level of risk for a particular request (LOW, MEDIUM, or HIGH) dependent on the result of behavior detections."
Event.System.DebugContext.DebugData.SignOnMode,"OpenID Connect, SAML 2.0",Protocol used to facilitate the authentication.
Event.System.DebugContext.DebugData.ThreatSuspected,TRUE,The event has met enough criteria to be considered a threat through ThreatInsights.
Event.System.DebugContext.DebugData.Tunnels,"[{""anonymous"":true,""operator"":null,""type"":""VPN""}]",This will contain details on all relevant proxy or VPN information associated with this IP address.
Event.System.LegacyEventType,,Event.EventType as it's displayed in Okta Classic Engine.
Event.System.Transaction.ID,,"Identifies events that have occurred together as part of an operation (for example, a request to the Okta servers) https://developer.okta.com/docs/reference/system-log-query/"
,,
Request,null,Metadata pertaining to the request.
Request.IPChain,,"represents a sequence of network-related information including intermediary systems, firewalls, or security layers involved in the request."
Request.IPChain.GeographicalContext.City,Pittsburgh,City the IP in the chain is registered to.
Request.IPChain.GeographicalContext.Country/region,Pennsylvania ,State or Province the IP in the chain is registered to.
Request.IPChain.GeographicalContext.Geolocation.Lat,-75.068819,Latitude the IP in the chain is registered to.
Request.IPChain.GeographicalContext.Geolocation.Lon,124.464726,Longitude the IP in the chain is registered to.
Request.IPChain.IP,,IP address in this step of the network chain.
,,
Target,null,"Metadata pertaining to the target, these fields differs based on the eventType and target.type."
Target.AlternateId,"example@domain.com, Okta Dashboard, ...","An alternative way to identify the target, generally a name dependent on the Target.Type"
Target.DetailEntry.SignOnModeType,SAML_2_0,Protocol used to facilitate the authentication to the target application.
Target.DetailEntry.Expires,2025-01-10T16:17:51.000Z,Time the target will expire.
Target.DetailEntry.MethodTypeUsed,Use Okta FastPass,Method used depending on the target.type. 
Target.DetailEntryMethodUsedVerifiedProperties,"[DEVICE_BOUND, PHISHING_RESISTANT, USER_VERIFYING, USER_PRESENCE, HARDWARE_PROTECTED]",Properties used for verification depending on the target.type.
Target.DetailEntry.Subject,00u...,"Subject of the oauth token, usually the user ID that is issuing it."
Target.DisplayName,Jane Doe,"Configured name of the target. Depending on the target.type it could be a full name, policy name, token name, etc. "
Target.ID,0ua...,"Unique ID of the target, depending on the event type it could be a user id, policy id, token id, etc. "
Target.Type,"AppUser, AppInstance, Rule",The target type that the eventType is being performed against. The above fields will be populated based on this type. 
